"name","org.code","year","students","grade","maxgrade"
"District School",350000,"1998","1,939",-1,
"District School",350000,"1999","1,085",-1,
"District School",350000,"2000","1,020",-1,
"District School",350000,"2001","950",-1,
"District School",350000,"2002","1,191",-1,
"District School",350000,"2003","1,003",-1,
"District School",350000,"2004","981",-1,
"District School",350000,"2005","1,049",-1,
"District School",350000,"2006","1,489",-1,
"District School",350000,"2007","1,716",-1,
"District School",350000,"2008","2,223",-1,
"District School",350000,"2009","2,330",-1,
"District School",350000,"2010","2,272",-1,
"District School",350000,"2011","2,522",-1,
"District School",350000,"2012","2,582",-1,
"District School",350000,"2013","2,753",-1,
"District School",350000,"2014","2,565",-1,
"District School",350000,"2015","2,644",-1,
"District School",350000,"1996","8,965",0,
"District School",350000,"1997","7,931",0,
"District School",350000,"1998","5,060",0,
"District School",350000,"1999","4,797",0,
"District School",350000,"2000","4,447",0,
"District School",350000,"2001","4,265",0,
"District School",350000,"2002","3,917",0,
"District School",350000,"2003","3,917",0,
"District School",350000,"2004","3,945",0,
"District School",350000,"2005","3,880",0,
"District School",350000,"2006","3,794",0,
"District School",350000,"2007","3,822",0,
"District School",350000,"2008","3,794",0,
"District School",350000,"2009","3,897",0,
"District School",350000,"2010","3,953",0,
"District School",350000,"2011","4,143",0,
"District School",350000,"2012","4,133",0,
"District School",350000,"2013","4,347",0,
"District School",350000,"2014","4,379",0,
"District School",350000,"2015","4,290",0,
"District School",350000,"1996","5,534",1,
"District School",350000,"1997","5,733",1,
"District School",350000,"1998","5,863",1,
"District School",350000,"1999","5,550",1,
"District School",350000,"2000","5,377",1,
"District School",350000,"2001","5,100",1,
"District School",350000,"2002","4,916",1,
"District School",350000,"2003","4,579",1,
"District School",350000,"2004","4,489",1,
"District School",350000,"2005","4,389",1,
"District School",350000,"2006","4,350",1,
"District School",350000,"2007","4,174",1,
"District School",350000,"2008","4,243",1,
"District School",350000,"2009","4,140",1,
"District School",350000,"2010","4,260",1,
"District School",350000,"2011","4,357",1,
"District School",350000,"2012","4,364",1,
"District School",350000,"2013","4,524",1,
"District School",350000,"2014","4,574",1,
"District School",350000,"2015","4,594",1,
"District School",350000,"1996","5,079",2,
"District School",350000,"1997","5,301",2,
"District School",350000,"1998","5,480",2,
"District School",350000,"1999","5,594",2,
"District School",350000,"2000","5,152",2,
"District School",350000,"2001","5,008",2,
"District School",350000,"2002","4,666",2,
"District School",350000,"2003","4,544",2,
"District School",350000,"2004","4,193",2,
"District School",350000,"2005","4,062",2,
"District School",350000,"2006","4,073",2,
"District School",350000,"2007","4,027",2,
"District School",350000,"2008","4,010",2,
"District School",350000,"2009","4,126",2,
