orgcode,school,address,latitude,longitude
350002,Boston - Early Childhood Center at Fifield (ECC-Fifield),"25 Dunbar Avenue,Dorchester,MA,02124",42.286794,-71.072708
350005,BOSTON - ELC - EAST ZONE,"370 Columbia Rd, Dorchester, MA 02125",42.311196,-71.071393
350007,Boston - Agassiz,"20 Child St, Jamaica Plain, MA 02130",42.3073176,-71.1144849
350011,Boston - Alexander Hamilton,"198 Strathmore Rd, Brighton, MA 02135",42.3400691,-71.1545111
350085,BOSTON - DOWNTOWN EVENING ACADEMY,"152 ARLINGTON ST, Boston , Massachusetts 02116",42.348451,-71.068844
350102,Boston - Emily A Fifield,"25 Dunbar Ave, Dorchester, MA 02124",42.286794,-71.072708
350108,Boston - Farragut,"10 Fenwood Road, Boston, MA 02115",42.3341394,-71.1062231
350114,BOSTON - FRANK V THOMPSON MIDDLE,"100 Maxwell Street,Dorchester,MA,02124",42.281211,-71.0808629
350129,Boston - Harriet A Baldwin,"121 Corey Road, Brighton, MA 02135",42.341947,-71.140567
350137,Boston - Henry L Higginson,"160 HARRISHOF STREET, Roxbury, MA 2119",42.317677,-71.0915746
350139,Boston - Phyllis Wheatley Middle,"20 Kearsarge Avenue, Roxbury, MA 02119",42.3269068,-71.0817247
350152,Boston - James A Garfield Elem,"95 BEECHCROFT STREET, Brighton, MA 2135",42.352183,-71.1607736
350178,Boston - John Marshall,"35 Westville Street, Boston, MA 02124",42.2996393,-71.0708375
350211,Boston - Lucy Stone,"22 Regina Rd, Dorchester, MA 02124",42.295497,-71.071087
350217,Boston - Margaret Fuller,"25 Glen Rd, Jamaica Plain, MA 02130",42.3089393,-71.103468
350270,Boston - Pauline Agassiz Shaw,"429 Norfolk St, Dorchester, MA 02124",42.282101,-71.086933
350284,Boston - Quincy E Dickerman,"206 Magnolia St, Dorchester, MA 02121",42.3113409,-71.0735227
350288,Boston - Ralph Waldo Emerson,"6 Shirley St, Roxbury, MA 02119",42.32364,-71.073134
350362,Boston - Wm E Endicott,"2 Mclellan Street Dorchester, MA 02121",42.3012516,-71.0856939
350381,Boston - Mildred Avenue Middle School,"5 Mildred Ave, Boston, MA 02126",42.2768433,-71.0905747
350384,Boston - James M Curley,"493 Centre St, Jamaica Plain, MA 02130",42.318622,-71.113604
350405,Boston - Mario Umana Middle School Academy,"312 Border St, East Boston, MA 02128",42.3783625,-71.0407417
350410,Boston - Martin Luther King Jr Mid,"77 Lawrence Ave., Dorchester, MA 02121",42.311055,-71.076481
350415,Boston - Grover Cleveland,"11 Charles St, Boston, MA 02114",42.356567,-71.069346
350420,Boston - Mary E Curley Middle,"493 Centre St, Jamaica Plain, MA 02130",42.318622,-71.113604
350425,Boston - Thomas A Edison Jr High,"60 Glenmont Road, Brighton, MA 02135",42.3455224,-71.1601606
350435,Boston - Patrick F Gavin Middle,"215 Dorchester Street, Boston, MA 02127",42.3336225,-71.0507751
350450,Boston - Solomon Lewenberg Middle,"20 Outlook Rd, Mattapan, MA 02126",42.2819765,-71.0939092
350455,Boston - Lewis Middle School,"131 Walnut Avenue, Roxbury, MA 02119",42.3205357,-71.0865803
350475,Boston - Robert Gould Shaw Middle,"20 Mt Vernon Street, West Roxbury, MA 02132",42.2828894,-71.1586118
350480,Boston - William H Taft Middle,"20 Warren Street, Brighton, MA 02135",42.350336,-71.145552
350490,Boston - Woodrow Wilson Middle,"18 Croftland Ave, Dorchester, MA 02124",42.2809384,-71.0697433
350502,Boston - Academy of Public Service,"9 PEACEVALE ROAD, Dorchester, MA 2124",42.2852738,-71.0758595
350520,Boston - Dorchester High,"9 PEACEVALE ROAD, Dorchester, MA 2124",42.2852738,-71.0758595
350524,Boston - Noonan Business Academy,"9 PEACEVALE ROAD, Dorchester, MA 2124",42.2852738,-71.0758595
350538,Boston - Monument High School,"95 G St, Boston, MA 02127",42.3329047,-71.0448291
350539,Boston - Tech Boston Academy,"9 PEACEVALE ROAD, Dorchester, MA 2124",42.2852738,-71.0758595
350550,Boston - Hyde Park High School,"655 Metropolitan Ave Boston, MA 02136",42.262789,-71.11792
350570,Boston - South Boston High,"95 G St, Boston, MA 02127",42.3329047,-71.0448291
350573,Boston - West Roxbury Sch,"1205 Veterans of Foreign Wars Pkwy, West Roxbury, MA 02132",42.2820359,-71.174083
350574,Boston - Parkway Academy of Technology and Health,"1205 Veterans of Foreign Wars Pkwy, West Roxbury, MA 02132",42.2820359,-71.174083
350576,Boston - Brook Farm Business and Service Career Academy,"1205 Veterans of Foreign Wars Pkwy, West Roxbury, MA 02132",42.2820359,-71.174083
350577,Boston - Odyssey High School,"95 G Street, South Boston, MA 02127",42.3329047,-71.0448291
350578,Boston - Media Communications Technology High School,"1205 Veterans of Foreign Wars Pkwy, West Roxbury, MA 02132",42.2820359,-71.174083
350580,Boston - Expulsion Alt School,"515 Hyde Park Avenue, Roslindale, MA 02131",42.2827786,-71.1191751
350582,Boston - The Engineering School,"655 Metropolitan Avenue, Hyde Park, MA 02136",42.262789,-71.11792
350583,Boston - Social Justice Academy,"655 Metropolitan Ave, Hyde Park, MA 02136",42.262789,-71.11792
350588,Boston - Young Adult Center,"PEMBERTON SQUARE, Boston, Massachusetts 02108",42.3588146,-71.061502
350650,Boston - Boston High School,"655 Metropolitan Avenue, Hyde Park, MA 02136",42.262789,-71.11792
350653,Boston - TechBoston Lower Academy,"9 Peacevale Road, Dorchester, MA 02124",42.2852738,-71.0758595
350654,Boston - TechBoston Upper Academy,"9 Peacevale Road, Dorchester, MA 02124",42.2852738,-71.0758595
