orgcode,school,address,latitude,longitude
4220505,Roxbury Charter - Roxbury Charter High School,"18 Hulbert St Boston, MA 02119",42.323444,-71.087851
4230010,Barnstable Horace Mann Charter (District) - Barnstable Horace Mann Charter School,"165 Bearses Way, Hyannis, MA 02601",41.6555477,-70.2932512
4340505,Champion Charter (District) - Champion Charter School,"175 Warren Avenue, Brockton, MA 02301",42.0824633,-71.0229702
4420050,Frederick Douglass Charter - Frederick Douglass Charter School,"190 Cummins Highway,Roslindale,MA,02131",42.2819474,-71.1219476
4480205,Gloucester Community Arts Charter (District) - Gloucester Community Arts Charter School,"2 Blackburn Dr, Gloucester, MA 01930",42.627571,-70.654314
4510550,Robert M. Hughes Academy Charter - Robert M. Hughes Academy Charter School,"91 School St, Springfield, MA 01105",42.102933,-72.579532
4590305,Excel Academy Charter School - Boston II (District) - Excel Academy Charter School - Boston II,"1150 Saratoga St, Boston, MA 02128",42.3845638,-70.9991622
4600105,Lynn Community Charter - Lynn Community CS,"9 Nahant St, Lynn, MA 01902",42.463047,-70.939059
4610405,Excel Academy Charter School - Chelsea (District) - Excel Academy Charter School - Chelsea,"180 2nd Street, Chelsea MA 02150",42.3938079,-71.0435724
4620305,Grove Hall Preparatory Charter School (District) - Grove Hall Preparatory Charter School,"214 Harvard Street,Dorchester,MA,02124",42.295329,-71.085296
4650105,MATCH Community Day Charter Public School (District) - MATCH Community Day Charter Public School,"215 Forest Hills Street,Jamaica Plain,MA,02130",42.305119,-71.1038572
4710405,New Leadership Charter (District) - New Leadership Charter School,"37 Alderman Street,Springfield,MA,01108",42.0884913,-72.5591369
4720515,New Bedford Global HMCS - New Bedford Global Learning HMCS,"455 County Street3rd Floor,New Bedford,MA,02740",41.634758,-70.931619
4760505,Spirit of Knowledge Charter School (District) - Spirit of Knowledge Charter School,"19 Chatham Street,Worcester,MA,01609",42.261625,-71.804151
4900305,Uphams Corner Charter - Uphams Corner Charter School,"7 Elkins Street, Boston, MA 02127",42.3394524,-71.0357689
4730505,North Star Academy - NORTH STAR ACADEMY CS,"649 State St, Springfield, MA 01109",42.1098538,-72.5709561
4980505,YOUTHBUILD BOSTON INC CH - YOUTHBUILD BOSTON ACAD CS,"173 Norfolk Ave Boston, MA 02119",42.3253643,-71.0695666
4250505,BOSTON UNIVERSITY CHARTER - BOSTON UNIVERSITY CS,"66 School St Granby, MA,01033",42.2688903,-72.4740814
