orgcode,address,latitude,longitude
4450105,"10 New Bond Street, Worcester, MA 01606",42.3073082,-71.80238342
10505,"201 Gliniewicz Way, Abington, MA 02351",42.11828613,-70.95375061
10003,"1 Ralph Hamlin Lane, Abington, MA 02351",42.11881533,-70.94621211
10002,"65 Thaxter Avenue, Abington, MA 02351",42.10507505,-70.94430439
10405,"1071 Washington Street, Abington, MA 02351",42.12052536,-70.94489288
10015,"128 Chestnut Street, Abington, MA 02351",42.13149682,-70.97437397
4120530,"1 Westinghouse Plaza, Hyde Park, MA 02136",42.24610138,-71.1317215
6000505,"36 Charter Rd, Acton, MA 01720",42.47661598,-71.45643935
6000005,"493 Massachusetts Avenue, Boxborough, MA 01719",42.48277283,-71.50641632
6000020,"21 Elm Street, Acton, MA 01720",42.48217084,-71.47144832
6000030,"80 Taylor Road, Acton, MA 01720",42.47529164,-71.43804878
6000015,"11 Charter Road, Acton, MA 01720",42.47563295,-71.456035
6000010,"11 Charter Road, Acton, MA 01720",42.47563295,-71.456035
6000025,"75 Spruce Street, Acton, MA 01720",42.47842982,-71.47328764
6000405,"16 Charter Rd, Acton, MA 01720",42.47578852,-71.45620398
30025,"800 Middle Road, Acushnet, MA 02743",41.72479413,-70.90684466
30305,"708 Middle Road, Acushnet, MA 02743",41.72103368,-70.90562828
6030004,"191 Church Street, Cheshire, MA 01225",42.563831,-73.158326
6030505,"125 Savoy Road, Cheshire, MA 01225",42.5929749,-73.11653696
6030020,"14 Commercial Street, Adams, MA 01220",42.6191023,-73.12078491
4300305,"201 Forest Street, Marlborough, MA 01752",42.33250491,-71.57722592
50003,"108 Perry Lane, Agawam, MA 01001",42.0675087,-72.62425232
50505,"760 Cooper Street, Agawam, MA 01001",42.07405472,-72.64569855
50405,"1305 Springfield St, Suite 2, Feeding Hills, MA 01030",42.06402969,-72.67356873
50020,"689 Main Street, Agawam, MA 01001",42.0697723,-72.615139
50010,"31 So. Westfield Street, Feeding Hills, MA 01030",42.06596375,-72.67668152
50030,"65 Oxford Street, Agawam, MA 01001",42.04663849,-72.63137054
50303,"68 Main Street, Agawam, MA 01001",42.08695221,-72.6258316
50025,"65 Begley Street, Agawam, MA 01001",42.08995056,-72.64329529
4090205,"26 Madeira Ave, New Bedford, MA 02746",41.66542816,-70.92381287
70005,"20 South Hampton Road, Amesbury, MA 01913",42.866235,-70.93090542
70505,"5 Highland Street, Amesbury, MA 01913",42.85141754,-70.94348907
70013,"220 Main Street, Amesbury, MA 01913",42.84848079,-70.93050376
70010,"193 Lions Mouth Road, Amesbury, MA 01913",42.85583878,-70.94880676
4150505,"71 Friend Street, Amesbury, MA 01913",42.85612375,-70.93460418
80009,"280 West Street, Amherst, MA 01002",42.34732056,-72.51738739
80020,"70 So East Street, Amherst, MA 01002",42.37477875,-72.49759674
80050,"71 Strong Street, Amherst, MA 01002",42.38716888,-72.5128479
6050505,"21 Mattoon Street, Amherst, MA 01002",42.37990625,-72.51298897
6050405,"170 Chestnut Street, Amherst, MA 01002",42.38302365,-72.51045495
90505,"80 Shawsheen Road, Andover, MA 01810",42.65976727,-71.15299501
90310,"70 Shawsheen Road, Andover, MA 01810",42.65955202,-71.1519067
90003,"15 Bancroft Street, Andover, MA 01810",42.55397415,-71.14649963
90305,"50 Bartlet Street, Andover, MA 01810",42.654333,-71.135068
90010,"90 Lovejoy Road, Andover, MA 01810",42.6403923,-71.17974854
90004,"333 High Plain Road, Andover, MA 01810",42.66247295,-71.21104605
90005,"18 Magnolia Avenue, Andover, MA 01810",42.67651367,-71.15491486
90020,"55 Woburn Street, Andover, MA 01810",42.62628937,-71.15037537
90025,"58 Beacon Street, Andover, MA 01810",42.66431808,-71.17029572
90350,"11 Cross Street, Andover, MA 01810",42.66529083,-71.21263885
35090305,"263 Hamlet Street, Fall River, MA 02724",41.68847275,-71.16161346
100505,"869 Mass Avenue, Arlington, MA 02476",42.43153006,-71.20787032
100010,"66 Eastern Avenue, Arlington, MA 02476",42.4124585,-71.1764565
100025,"185 Florence Avenue, Arlington, MA 02476",42.41769791,-71.18792725
100030,"52 Lake Street, Arlington, MA 02474",42.40469858,-71.14549085
100005,"25 Columbia Road, Arlington, MA 02474",42.42435074,-71.15480042
100055,"180 Mountain Avenue, Arlington, MA 02474",42.4290123,-71.16745758
100038,"869 Massachusetts Avenue, Arlington, MA 02476",42.41713732,-71.16241425
100410,"63 Acton Street, Arlington, MA 02476",42.42110443,-71.17576599
100045,"85 Park Avenue Ext, Arlington, MA 02474",42.42872782,-71.1787127
100050,"187 Everett Street, Arlington, MA 02474",42.4132037,-71.1382017
6100025,"96 Williams Rd, Ashburnham, MA 01430",42.61507034,-71.9278717
6100010,"8 South Street, Westminster, MA 01473",42.54232025,-71.91075897
6100505,"9 Oakmont Drive, Ashburnham, MA 01430",42.60396957,-71.92778778
6100305,"10 Oakmont Drive, Ashburnham, MA 01430",42.6070746,-71.92178585
6100005,"9 Academy Hill, Westminster, MA 01473",42.54232025,-71.91075897
140505,"65 East Union St., Ashland, MA 01721",42.26092148,-71.44595337
140405,"87 West Union Street, Ashland, MA 01721",42.2527504,-71.47570038
140015,"90 Concord Street, Ashland, MA 01721",42.26366425,-71.45952606
140010,"73 Fruit Street, Ashland, MA 01721",42.24204254,-71.44594574
140005,"75 Central Street, Ashland, MA 01721",42.2580989,-71.4599694
8010605,"215 Fitchburg Street, Marlborough, MA 01752",42.36837769,-71.56526184
6150505,"2363 Main Street, Athol, MA 01331",42.58270472,-72.2029075
6150305,"1062 Pleasant Street, Athol, MA 01331",42.57346344,-72.21290588
6150016,"1060 Pleasant Street, Athol, MA 01331",42.57347488,-72.21527863
6150020,"174 Riverbend Street, Athol, MA 01331",42.59230971,-72.22300597
6150050,"96 Winchendon Rd, Royalston, MA 01368",42.67682266,-72.14338684
4910550,"37 Park Street, Fall River, MA 02721",41.6941325,-71.1630989
160001,"299 Rathbun Willard Drive, Attleboro, MA 02703",41.93618841,-71.30527139
160515,"100 Rathbun Willard Drive, Attleboro, MA 02703",41.94016077,-71.30099259
160505,"100 Rathbun Willard Drive, Attleboro, MA 02703",41.94016077,-71.30099259
160315,"320 Rathbun Willard Drive, Attleboro, MA 02703",41.94024277,-71.30476379
160008,"7 James St, Attleboro, MA 02703",41.93149948,-71.28083038
160045,"80 Roy Avenue, Attleboro, MA 02703",41.92009735,-71.35148621
160040,"790 Oak Hill Avenue, Attleboro, MA 02703",41.91617966,-71.27257538
160050,"160 James Street, Attleboro, MA 02703",41.93292752,-71.28038317
160305,"99 Brown Street, Attleboro, MA 02703",41.909729,-71.3686764
160035,"32 Watson Avenue, Attleboro, MA 02703",41.9470888,-71.2918017
160320,"300 Locust Street, Attleboro, MA 02703",41.91355133,-71.28064728
170305,"10 Swanson Road, Auburn, MA 01501",42.2056557,-71.8407767
