"grade","latlong","longitude","latitude","2005","2010","2015","stu_2015_2010","stu_2015_2005","stu_2015_2010_abs","stu_2015_2005_abs","name","address"
-1,"42.242 -71.123","-71.123","42.242",0,40,43,3,43,3,43,"Boston - Franklin D Roosevelt","95 Needham Road, Hyde Park, MA 02136"
-1,"42.250 -71.126","-71.126","42.250",0,0,119,119,119,119,119,"Boston Renaissance Charter Public (District) - Boston Renaissance Charter  Public School","1415 Hyde Park Ave, Hyde Park, MA 02136"
-1,"42.251 -71.133","-71.133","42.251",0,20,29,9,29,9,29,"Boston - William Ellery Channing","35 Sunnyside Street, Hyde Park, MA 02136"
-1,"42.263 -71.155","-71.155","42.263",0,44,43,-1,43,1,43,"Boston - Beethoven","5125 Washington Street, West Roxbury, MA 02132"
-1,"42.267 -71.105","-71.105","42.267",0,23,44,21,44,21,44,"Boston - James J Chittick","154 Ruskindale Road, Mattapan, MA 02126"
-1,"42.271 -71.092","-71.092","42.271",57,51,45,-6,-12,6,12,"Boston - Dr. Catherine Ellison-Rosa Parks Early Ed School","108 Babson Street, Mattapan, MA 02126"
-1,"42.271 -71.163","-71.163","42.271",0,50,40,-10,40,10,40,"Boston - Joyce Kilmer","35 Baker Street, West Roxbury, MA 02132"
-1,"42.274 -71.106","-71.106","42.274",48,51,97,46,49,46,49,"Boston - Mattahunt","100 Hebron Street, Mattapan, MA 02126"
-1,"42.274 -71.127","-71.127","42.274",37,29,21,-8,-16,8,16,"Boston - George H Conley","450 Poplar Street, Roslindale, MA 02131"
-1,"42.276 -71.066","-71.066","42.276",0,24,44,20,44,20,44,"Conservatory Lab Charter - Conservatory Lab Charter School","2120 Dorchester Avenue, Dorchester, MA 02124"
-1,"42.277 -71.077","-71.077","42.277",15,26,15,-11,0,11,0,"Boston - Charles H Taylor","1060 Morton Street, Mattapan, MA 02126"
-1,"42.277 -71.135","-71.135","42.277",0,12,20,8,20,8,20,"Boston - Phineas Bates","426 Beech Street, Roslindale, MA 02131"
-1,"42.281 -71.086","-71.086","42.281",0,0,52,52,52,52,52,"Boston - Pauline Agassiz Shaw Elementary School","429 Norfolk Street, Dorchester, MA 02124"
-1,"42.281 -71.093","-71.093","42.281",15,34,37,3,22,3,22,"Boston - Solomon Lewenberg Middle","20 Outlook Rd, Mattapan, MA 02126"
-1,"42.281 -71.141","-71.141","42.281",22,21,25,4,3,4,3,"Boston - Mozart","236 Beech Street, Roslindale, MA 02131"
-1,"42.282 -71.086","-71.086","42.282",7,0,0,0,-7,0,7,"Boston - Pauline Agassiz Shaw","429 Norfolk St, Dorchester, MA 02124"
-1,"42.282 -71.158","-71.158","42.282",0,44,65,21,65,21,65,"Boston - Lyndon","20 Mt. Vernon Street, West Roxbury, MA 02132"
-1,"42.285 -71.117","-71.117","42.285",0,0,9,9,9,9,9,"Boston - John D Philbrick","40 Philbrick Street, Roslindale, MA 02131"
-1,"42.286 -71.053","-71.053","42.286",0,31,27,-4,27,4,27,"Boston - Thomas J Kenny","19 Oakton Avenue, Dorchester, MA 02122"
-1,"42.286 -71.072","-71.072","42.286",42,58,58,0,16,0,16,"Boston - Emily A Fifield","25 Dunbar Ave, Dorchester, MA 02124"
-1,"42.286 -71.107","-71.107","42.286",0,21,29,8,29,8,29,"Boston - Dennis C Haley","570 American Legion Highway, Roslindale, MA 02131"
-1,"42.286 -71.126","-71.126","42.286",0,38,34,-4,34,4,34,"Boston - Charles Sumner","15 Basile Street, Roslindale, MA 02131"
-1,"42.292 -71.080","-71.080","42.292",34,9,52,43,18,43,18,"Boston - Joseph Lee","155 Talbot Avenue, Dorchester, MA 02124"
-1,"42.293 -71.053","-71.053","42.293",22,42,40,-2,18,2,18,"Neighborhood House Charter (District) - Neighborhood House Charter School","21 Queen Street, Dorchester, MA 02122"
-1,"42.293 -71.062","-71.062","42.293",34,29,33,4,-1,4,1,"Boston - Dr. William Henderson Lower","1669 Dorchester Avenue, Dorchester, MA 02122"
-1,"42.294 -71.049","-71.049","42.294",0,31,36,5,36,5,36,"Boston - Richard J Murphy","1 Worrell Street, Dorchester, MA 02122"
-1,"42.294 -71.115","-71.115","42.294",0,22,20,-2,20,2,20,"Boston - Boston Teachers Union School","25 Walk Hill Street, Jamaica Plain, MA 02130"
-1,"42.296 -71.072","-71.072","42.296",0,0,22,22,22,22,22,"Codman Academy Charter Public (District) - Codman Academy Charter Public School","637 Washington Street, Dorchester, MA 02124"
-1,"42.296 -71.074","-71.074","42.296",17,25,35,10,18,10,18,"Boston - O W Holmes","40 School Street, Dorchester, MA 02124"
-1,"42.296 -71.080","-71.080","42.296",49,47,42,-5,-7,5,7,"Boston - Sarah Greenwood","189 Glenway Street, Dorchester, MA 02121"
-1,"42.299 -71.070","-71.070","42.299",0,105,58,-47,58,47,58,"UP Academy Charter School of Dorchester (District) - UP Academy Charter School of Dorchester","35 Westville Street, Boston, MA 02124"
-1,"42.301 -71.085","-71.085","42.301",0,0,39,39,39,39,39,"Bridge Boston Charter School - Bridge Boston Charter School","2 McLellan Street, Dorchester, MA 02121"
-1,"42.305 -71.131","-71.131","42.305",0,0,13,13,13,13,13,"Boston - Joseph P Manning","130 Louders Lane, Jamaica Plain, MA 02130"
-1,"42.306 -71.073","-71.073","42.306",0,30,47,17,47,17,47,"Boston - UP Academy Holland","85 Olney Street, Dorchester, MA 02121"
-1,"42.307 -71.062","-71.062","42.307",0,62,59,-3,59,3,59,"Boston - Mather","1 Parish Street, Dorchester, MA 02122"
-1,"42.307 -71.113","-71.113","42.307",0,0,36,36,36,36,36,"Boston - Margarita Muniz Academy","20 Child Street, Boston, MA 02130"
