"name","org.code","year","students","grade","maxgrade","address","latitude","longitude","zip","boston","charter","charter.alt","boston2"
"BOSTON - AGASSIZ",350007,"1998","85",-1,,"20 Child St, Jamaica Plain, MA 02130",42.3073176,-71.1144849,2130,TRUE,FALSE,FALSE,TRUE
"BOSTON - ALEXANDER HAMILTON",350011,"1998","3",-1,,"198 Strathmore Rd, Brighton, MA 02135",42.3400691,-71.1545111,2135,TRUE,FALSE,FALSE,TRUE
"BOSTON - BEETHOVEN",350021,"1998","29",-1,,"5125 Washington Street, West Roxbury, MA 02132",42.26351929,-71.15582275,2132,TRUE,FALSE,FALSE,TRUE
"BOSTON - BLACKSTONE",350390,"1998","76",-1,,"380 Shawmut Avenue, Boston, MA 02118",42.3402746,-71.07350707,2118,TRUE,FALSE,FALSE,TRUE
"BOSTON - CHARLES H TAYLOR",350054,"1998","37",-1,,"1060 Morton Street, Mattapan, MA 02126",42.27751091,-71.07775569,2126,TRUE,FALSE,FALSE,TRUE
"BOSTON - CURTIS GUILD",350062,"1998","11",-1,,"195 Leyden Street, East Boston, MA 02128",42.38860801,-71.00412302,2128,TRUE,FALSE,FALSE,TRUE
"BOSTON - DENNIS C HALEY",350077,"1998","25",-1,,"570 American Legion Highway, Roslindale, MA 02131",42.286377,-71.107826,2131,TRUE,FALSE,FALSE,TRUE
"BOSTON - DONALD MCKAY",350080,"1998","24",-1,,"122 Cottage Street, East Boston, MA 02128",42.39048,-71.027297,2128,TRUE,FALSE,FALSE,TRUE
"BOSTON - EDWARD EVERETT",350088,"1998","43",-1,,"71 Pleasant Street, Dorchester, MA 02125",42.31405869,-71.05980903,2125,TRUE,FALSE,FALSE,TRUE
"BOSTON - ELC - EAST ZONE",350005,"1998","56",-1,,"370 Columbia Rd, Dorchester, MA 02125",42.311196,-71.071393,2125,TRUE,FALSE,FALSE,TRUE
"BOSTON - ELC - NORTH ZONE",350003,"1998","46",-1,,"121 Corey Road, Brighton, MA 02135",42.34194565,-71.14056396,2135,TRUE,FALSE,FALSE,TRUE
"BOSTON - ELC - WEST ZONE",350006,"1998","38",-1,,"200 Heath Street, Jamaica Plain, MA 02130",42.32602692,-71.10681915,2130,TRUE,FALSE,FALSE,TRUE
"BOSTON - ELLIS MENDELL",350100,"1998","28",-1,,"164 School Street, Roxbury, MA 02119",42.3169155,-71.1013381,2119,TRUE,FALSE,FALSE,TRUE
"BOSTON - GEORGE H CONLEY",350122,"1998","14",-1,,"450 Poplar Street, Roslindale, MA 02131",42.2746048,-71.12731934,2131,TRUE,FALSE,FALSE,TRUE
"BOSTON - HARVARD-KENT",350200,"1998","33",-1,,"50 Bunker Hill Street, Charlestown, MA 02129",42.3767399,-71.05702758,2129,TRUE,FALSE,FALSE,TRUE
"BOSTON - HENRY L HIGGINSON",350137,"1998","42",-1,,"160 HARRISHOF STREET, Roxbury, MA 2119",42.317677,-71.0915746,2119,TRUE,FALSE,FALSE,TRUE
"BOSTON - HORACE MANN",350750,"1998","12",-1,,"40 Armington  Street, Allston, MA 02134",42.3519992,-71.1377044,2134,TRUE,FALSE,FALSE,TRUE
"BOSTON - HUGH ROE O'DONNELL",350141,"1998","24",-1,,"33 Trenton Street, East Boston, MA 02128",42.37824664,-71.03807576,2128,TRUE,FALSE,FALSE,TRUE
"BOSTON - JACKSON MANN",350013,"1998","27",-1,,"40 Armington Street, Allston, MA 02134",42.351989,-71.137687,2134,TRUE,FALSE,FALSE,TRUE
"BOSTON - JAMES A GARFIELD ELEM",350152,"1998","23",-1,,"95 BEECHCROFT STREET, Brighton, MA 2135",42.352183,-71.1607736,2135,TRUE,FALSE,FALSE,TRUE
"BOSTON - JAMES CONDON ELEM",350146,"1998","81",-1,,"200 D Street, South Boston, MA 02127",42.33834839,-71.05284882,2127,TRUE,FALSE,FALSE,TRUE
"BOSTON - JAMES J CHITTICK",350154,"1998","15",-1,,"154 Ruskindale Road, Mattapan, MA 02126",42.26719379,-71.10501565,2126,TRUE,FALSE,FALSE,TRUE
"BOSTON - JAMES OTIS",350156,"1998","41",-1,,"218 Marion Street, East Boston, MA 02128",42.37525558,-71.03387451,2128,TRUE,FALSE,FALSE,TRUE
"BOSTON - JAMES W HENNIGAN",350153,"1998","39",-1,,"200 Heath Street, Jamaica Plain, MA 02130",42.32602692,-71.10681915,2130,TRUE,FALSE,FALSE,TRUE
"BOSTON - JOHN MARSHALL",350178,"1998","62",-1,,"35 Westville Street, Boston, MA 02124",42.2996393,-71.0708375,2124,TRUE,FALSE,FALSE,TRUE
"BOSTON - JOHN P HOLLAND",350167,"1998","44",-1,,"85 Olney Street, Dorchester, MA 02121",42.30607986,-71.07362366,2121,TRUE,FALSE,FALSE,TRUE
"BOSTON - JOHN WINTHROP",350180,"1998","49",-1,,"35 Brookford Street, Dorchester, MA 02125",42.31838509,-71.07556365,2125,TRUE,FALSE,FALSE,TRUE
"BOSTON - JOSEPH LEE",350183,"1998","62",-1,,"155 Talbot Avenue, Dorchester, MA 02124",42.29253732,-71.0800463,2124,TRUE,FALSE,FALSE,TRUE
"BOSTON - JOSEPH P TYNAN",350181,"1998","27",-1,,"650 E.  Fourth Street, South Boston, MA 02127",42.33478747,-71.03828095,2127,TRUE,FALSE,FALSE,TRUE
"BOSTON - JOSIAH QUINCY",350286,"1998","35",-1,,"885 Washington Street, Boston, MA 02111",42.34798813,-71.06498718,2111,TRUE,FALSE,FALSE,TRUE
"BOSTON - JOYCE KILMER",350190,"1998","25",-1,,"35 Baker Street, West Roxbury, MA 02132",42.27159262,-71.16305999,2132,TRUE,FALSE,FALSE,TRUE
