DISTRICT,ORG CODE,UG,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,13,14,TOTAL
Abby Kelley Foster Regional Charter,04450000,0,0,114,86,89,91,91,91,84,81,70,0,0,0,0,0,0,797
Abington,00010000,0,35,183,190,193,182,203,195,202,184,176,155,143,128,129,2,0,"2,300"
Academy of Strategic Learning HMCS,04150000,0,0,0,0,0,0,0,0,0,2,3,9,11,0,0,0,0,25
Academy Of the Pacific Rim Charter,04120000,0,0,0,0,0,0,0,0,83,83,42,43,28,11,0,0,0,290
Acton,00020000,0,27,338,345,351,360,335,364,367,0,0,0,0,0,0,0,0,"2,487"
Acton-Boxborough,06000000,0,0,0,0,0,0,0,0,0,427,441,398,410,352,351,0,0,"2,379"
Acushnet,00030000,0,29,94,94,103,118,119,131,140,137,141,0,0,0,0,0,0,"1,106"
Adams-Cheshire,06030000,0,44,141,129,139,144,141,161,152,175,136,137,141,133,134,0,0,"1,907"
Agawam,00050000,0,139,308,332,316,319,337,353,349,353,324,299,295,296,301,0,0,"4,321"
Amesbury,00070000,0,64,198,196,197,212,214,205,245,196,260,259,217,181,182,0,0,"2,826"
Amherst,00080000,0,66,189,197,197,216,210,238,230,0,0,0,0,0,0,0,0,"1,543"
Amherst-Pelham,06050000,0,0,0,0,0,0,0,0,0,344,317,361,342,340,363,0,0,"2,067"
Andover,00090000,0,35,383,458,427,478,468,482,497,514,497,421,407,383,397,0,0,"5,847"
Arlington,00100000,0,7,385,407,344,372,312,329,347,324,332,289,291,270,256,0,0,"4,265"
Ashburnham-Westminster,06100000,0,33,151,177,187,171,186,204,219,200,202,181,190,186,169,1,2,"2,459"
Ashland,00140000,0,128,213,217,203,199,204,193,194,188,197,151,151,144,149,0,0,"2,531"
Assabet Valley,08010000,0,0,0,0,0,0,0,0,0,0,0,239,215,221,201,0,0,876
Athol-Royalston,06150000,0,32,151,152,163,174,153,155,220,208,202,174,162,149,137,0,0,"2,232"
Atlantis Charter,04910000,0,0,84,66,69,69,69,69,68,66,63,0,0,0,0,0,0,623
Attleboro,00160000,0,156,469,560,487,530,520,494,597,529,546,591,460,477,357,48,0,"6,821"
Auburn,00170000,0,0,176,194,194,182,208,200,200,211,192,168,158,160,155,0,0,"2,398"
Avon,00180000,0,15,53,49,58,56,54,58,61,63,66,56,57,45,50,0,0,741
Ayer,00190000,0,87,110,126,123,110,106,100,95,93,84,113,90,86,88,0,0,"1,411"
Barnstable,00200000,0,63,396,515,525,453,533,1,582,574,543,591,496,438,426,0,0,"6,136"
