DISTRICT,ORG CODE,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,TOTAL
Abby Kelley Foster Charter Public (District),04450000,0,117,125,122,123,121,128,123,117,109,96,87,81,79,0,"1,428"
Abington,00010000,76,148,131,143,174,172,156,174,156,149,131,96,117,128,5,"1,956"
Academy Of the Pacific Rim Charter Public,04120000,0,0,0,0,0,0,77,74,77,78,52,56,58,47,0,519
Acton-Boxborough,06000000,102,320,347,367,395,440,441,436,428,479,457,479,486,481,0,"5,658"
Acushnet,00030000,51,96,101,87,105,113,78,116,111,115,0,0,0,0,0,973
Adams-Cheshire,06030000,44,116,109,108,103,95,115,96,113,115,79,95,73,91,0,"1,352"
Advanced Math and Science Academy Charter (District),04300000,0,0,0,0,0,0,0,138,147,145,116,138,186,129,0,999
Agawam,00050000,165,253,295,286,294,311,266,316,303,322,317,339,329,295,0,"4,091"
Alma del Mar Charter School,04090000,0,39,40,38,44,38,41,0,0,0,0,0,0,0,0,240
Amesbury,00070000,65,170,176,167,192,165,177,175,192,180,160,154,168,136,3,"2,280"
Amesbury Academy Charter Public (District),04150000,0,0,0,0,0,0,0,0,0,0,9,15,9,13,0,46
Amherst,00080000,61,140,149,172,167,154,173,184,0,0,0,0,0,0,0,"1,200"
Amherst-Pelham,06050000,0,0,0,0,0,0,0,0,221,240,244,236,233,263,4,"1,441"
Andover,00090000,63,375,387,444,479,519,489,530,508,522,420,477,432,415,16,"6,076"
Argosy Collegiate Charter School (District),35090000,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,103
Arlington,00100000,57,516,482,465,477,459,428,397,341,369,306,289,310,312,0,"5,208"
Ashburnham-Westminster,06100000,59,142,167,173,179,185,156,191,189,190,191,184,171,164,8,"2,349"
Ashland,00140000,123,193,206,199,193,183,212,198,194,175,174,188,189,168,0,"2,595"
Assabet Valley Regional Vocational Technical,08010000,0,0,0,0,0,0,0,0,0,0,280,278,259,241,0,"1,058"
Athol-Royalston,06150000,49,110,113,124,93,98,115,113,112,99,102,93,105,80,6,"1,412"
Atlantis Charter,04910000,0,106,115,72,73,72,100,100,100,100,47,0,0,0,0,885
Attleboro,00160000,194,433,446,468,455,396,459,451,448,435,433,427,466,416,0,"5,927"
Auburn,00170000,50,160,172,177,176,193,191,191,196,205,171,157,162,162,6,"2,369"
Avon,00180000,19,43,53,60,58,58,63,59,62,60,61,50,50,42,3,741
Ayer Shirley School District,06160000,55,142,140,153,127,159,128,141,123,148,97,95,94,55,0,"1,657"
Barnstable,00200000,93,319,352,383,352,389,383,363,388,398,396,369,399,334,15,"4,933"
Barnstable Community Horace Mann Charter Public,04270000,0,75,68,75,73,0,0,0,0,0,0,0,0,0,0,291
Baystate Academy Charter Public School (District),35020000,0,0,0,0,0,0,0,69,79,70,0,0,0,0,0,218
Bedford,00230000,32,186,202,179,164,174,202,145,177,180,230,220,204,227,0,"2,522"
Belchertown,00240000,29,136,171,172,177,196,176,198,195,206,184,175,177,172,0,"2,364"
Bellingham,00250000,93,183,191,180,189,181,184,191,192,173,129,150,164,181,0,"2,381"
Belmont,00260000,63,353,341,332,347,326,339,331,323,292,341,304,312,279,0,"4,283"
Benjamin Banneker Charter Public (District),04200000,0,67,48,55,52,44,43,38,0,0,0,0,0,0,0,347
Benjamin Franklin Classical Charter Public,04470000,0,50,50,50,50,50,50,50,49,51,0,0,0,0,0,450
Berkley,00270000,67,78,95,78,79,89,98,87,93,91,0,0,0,0,0,855
Berkshire Arts and Technology Charter Public,04140000,0,0,0,0,0,0,0,72,64,69,57,23,28,21,0,334
Berkshire Hills,06180000,16,77,66,67,66,93,100,94,105,104,125,145,143,129,10,"1,340"
Berlin,00280000,22,20,26,27,36,26,29,0,0,0,0,0,0,0,0,186
Berlin-Boylston,06200000,0,0,0,0,0,0,0,86,84,84,85,85,69,58,0,551
Beverly,00300000,94,375,376,366,309,353,354,322,314,283,351,335,334,325,9,"4,500"
Billerica,00310000,159,369,411,409,396,408,391,391,493,440,330,310,301,327,9,"5,144"
Blackstone Valley Regional Vocational Technical,08050000,0,0,0,0,0,0,0,0,0,0,310,297,296,282,0,"1,185"
Blackstone-Millville,06220000,61,132,127,146,120,145,144,139,150,154,114,121,123,95,4,"1,775"
Blue Hills Regional Vocational Technical,08060000,0,0,0,0,0,0,0,0,0,0,237,231,202,189,0,859
Boston,00350000,"2,644","4,290","4,594","4,432","4,125","3,992","3,455","3,153","3,336","3,847","4,451","3,979","4,006","3,805",203,"54,312"
Boston Collegiate Charter,04490000,0,0,0,0,0,0,103,100,95,94,86,83,70,57,0,688
Boston Day and Evening Academy Charter,04240000,0,0,0,0,0,0,0,0,0,0,79,33,102,166,0,380
Boston Green Academy Horace Mann Charter School,04110000,0,0,0,0,0,0,0,69,0,0,71,83,77,80,13,393
Boston Preparatory Charter Public,04160000,0,0,0,0,0,0,0,58,58,58,75,53,45,44,0,391
Boston Renaissance Charter Public,04810000,119,116,124,128,127,113,121,96,0,0,0,0,0,0,0,944
Bourne,00360000,51,136,155,152,160,172,190,182,187,166,109,93,152,108,0,"2,013"
