SCHOOL,ORG CODE,UG,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,13,14,TOTAL
Abby Kelley Foster Regional Charter - Abby Kelley Foster Regional Charter School,04450105,0,0,114,86,89,91,91,91,84,81,70,0,0,0,0,0,0,797
Abington - Abington ECC,00010003,0,35,183,190,193,0,0,0,0,0,0,0,0,0,0,0,0,601
Abington - Abington High,00010505,0,0,0,0,0,0,0,1,0,0,0,155,143,128,129,2,0,558
Abington - Center,00010005,0,0,0,0,0,49,51,52,49,0,0,0,0,0,0,0,0,201
Abington - Frolio Jr Hs,00010405,0,0,0,0,0,0,0,0,0,184,176,0,0,0,0,0,0,360
Abington - North,00010010,0,0,0,0,0,49,50,41,51,0,0,0,0,0,0,0,0,191
Abington - Woodsdale,00010015,0,0,0,0,0,84,102,101,102,0,0,0,0,0,0,0,0,389
Academy of Strategic Learning HMCS - Academy of Strategic Learning HMCS School,04150505,0,0,0,0,0,0,0,0,0,2,3,9,11,0,0,0,0,25
Academy Of the Pacific Rim Charter - Academy Of the Pacific Rim Charter School,04120530,0,0,0,0,0,0,0,0,83,83,42,43,28,11,0,0,0,290
Acton - Douglas,00020020,0,0,67,67,69,73,72,79,79,0,0,0,0,0,0,0,0,506
Acton - Gates,00020025,0,0,66,68,68,75,73,78,77,0,0,0,0,0,0,0,0,505
Acton - Luther Conant,00020030,0,0,65,65,70,72,74,77,80,0,0,0,0,0,0,0,0,503
Acton - McCarthy-Towne,00020015,0,0,64,65,81,73,67,78,78,0,0,0,0,0,0,0,0,506
Acton - Merriam,00020010,0,27,76,80,63,67,49,52,53,0,0,0,0,0,0,0,0,467
Acton-Boxborough - Acton-Boxborough Reg High,06000505,0,0,0,0,0,0,0,0,0,0,0,398,410,352,351,0,0,"1,511"
Acton-Boxborough - Raymond J Grey JH,06000405,0,0,0,0,0,0,0,0,0,427,441,0,0,0,0,0,0,868
Acushnet - Acushnet Elementary Sch,00030025,0,29,94,94,103,118,119,131,0,0,0,0,0,0,0,0,0,688
Acushnet - Albert F Ford Middle Sch,00030305,0,0,0,0,0,0,0,0,140,137,141,0,0,0,0,0,0,418
Adams-Cheshire - Adams Middle,06030305,0,0,0,0,0,0,0,0,113,175,136,0,0,0,0,0,0,424
Adams-Cheshire - Cheshire Elementary,06030004,0,44,42,40,35,43,41,50,39,0,0,0,0,0,0,0,0,334
Adams-Cheshire - Hoosac Valley High,06030505,0,0,0,0,0,0,0,0,0,0,0,137,141,133,134,0,0,545
Adams-Cheshire - Plunkett Elementary,06030020,0,0,99,89,104,101,100,111,0,0,0,0,0,0,0,0,0,604
Agawam - Agawam ECC,00050003,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139
Agawam - Agawam High,00050505,0,0,0,0,0,0,0,0,0,0,0,299,295,296,301,0,0,"1,191"
Agawam - Agawam Junior High,00050405,0,0,0,0,0,0,0,0,0,353,324,0,0,0,0,0,0,677
Agawam - Agawam Middle School,00050303,0,0,0,0,0,0,0,353,349,0,0,0,0,0,0,0,0,702
Agawam - Benjamin J Phelps,00050020,0,0,76,92,80,80,80,0,0,0,0,0,0,0,0,0,0,408
Agawam - Clifford M Granger,00050010,0,0,98,103,80,89,87,0,0,0,0,0,0,0,0,0,0,457
Agawam - James Clark School,00050030,0,0,69,75,80,82,95,0,0,0,0,0,0,0,0,0,0,401
Agawam - Robinson Park,00050025,0,0,65,62,76,68,75,0,0,0,0,0,0,0,0,0,0,346
Amesbury - Amesbury Elementary,00070005,0,29,100,92,96,116,108,0,0,0,0,0,0,0,0,0,0,541
Amesbury - Amesbury High,00070505,0,0,0,0,0,0,0,0,0,0,0,259,217,181,182,0,0,839
Amesbury - Amesbury Middle,00070013,0,0,0,0,0,0,0,205,245,196,260,0,0,0,0,0,0,906
Amesbury - Charles C Cashman El,00070010,0,35,98,104,101,96,106,0,0,0,0,0,0,0,0,0,0,540
Amherst - Crocker Farm Elementary,00080009,0,0,41,37,40,41,43,45,56,0,0,0,0,0,0,0,0,303
Amherst - Fort River Elementary,00080020,0,66,58,74,70,62,77,76,81,0,0,0,0,0,0,0,0,564
Amherst - Marks Meadow Laboratory,00080030,0,0,22,24,22,36,30,25,25,0,0,0,0,0,0,0,0,184
Amherst - Wildwood Elementary,00080050,0,0,68,62,65,77,60,92,68,0,0,0,0,0,0,0,0,492
Amherst-Pelham - Amherst Regional High,06050505,0,0,0,0,0,0,0,0,0,0,0,361,342,340,363,0,0,"1,406"
Amherst-Pelham - Amherst Regional MS,06050405,0,0,0,0,0,0,0,0,0,344,317,0,0,0,0,0,0,661
Andover - Andover High,00090505,0,0,0,0,0,0,0,0,0,0,0,421,407,383,397,0,0,"1,608"
Andover - Andover West Middle,00090310,0,0,0,0,0,0,0,0,230,239,247,0,0,0,0,0,0,716
Andover - Bancroft Elementary,00090003,0,0,64,85,78,119,112,111,0,0,0,0,0,0,0,0,0,569
Andover - Doherty Middle,00090305,0,0,0,0,0,0,0,0,267,275,250,0,0,0,0,0,0,792
Andover - Henry C Sanborn Elem,00090010,0,0,74,80,85,87,87,84,0,0,0,0,0,0,0,0,0,497
Andover - High Plain Elementary,00090004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andover - Shawsheen School,00090005,0,35,100,88,67,0,0,0,0,0,0,0,0,0,0,0,0,290
Andover - South Elementary,00090020,0,0,83,94,104,111,109,112,0,0,0,0,0,0,0,0,0,613
Andover - West Elementary,00090025,0,0,62,111,93,161,160,175,0,0,0,0,0,0,0,0,0,762
Andover - Wood Hill Middle School,00090350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arlington - Arlington High,00100505,0,0,0,0,0,0,0,0,0,0,0,289,291,269,256,0,0,"1,105"
Arlington - Brackett,00100010,0,0,61,70,47,51,46,49,0,0,0,0,0,0,0,0,0,324
Arlington - Cyrus E Dallin,00100025,0,0,69,69,61,66,51,61,0,0,0,0,0,0,0,0,0,377
Arlington - Hardy,00100030,0,0,55,42,46,54,35,38,0,0,0,0,0,0,0,0,0,270
Arlington - John A Bishop,00100005,0,0,56,70,56,62,55,58,0,0,0,0,0,0,0,0,0,357
Arlington - M Norcross Stratton,00100055,0,0,46,55,53,46,32,43,0,0,0,0,0,0,0,0,0,275
Arlington - Menotomy Preschool,00100038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arlington - Ottoson Middle,00100410,0,0,0,0,0,0,0,0,347,324,332,0,0,0,0,0,0,"1,003"
Arlington - Peirce,00100045,0,0,39,37,31,38,39,35,0,0,0,0,0,0,0,0,0,219
Arlington - Thompson,00100050,0,0,57,64,50,55,53,44,0,0,0,0,0,0,0,0,0,323
Ashburnham-Westminster - Briggs Elem,06100025,0,19,78,77,82,76,84,96,0,0,0,0,0,0,0,0,0,512
Ashburnham-Westminster - Meetinghouse School,06100010,0,14,73,100,104,1,0,0,0,0,0,0,0,0,0,0,0,292
Ashburnham-Westminster - Oakmont Regional H S,06100505,0,0,0,0,0,0,0,0,0,0,0,181,190,186,169,1,2,729
Ashburnham-Westminster - Overlook Middle School,06100305,0,0,0,0,0,0,0,0,219,200,202,0,0,0,0,0,0,621
Ashburnham-Westminster - Westminster Elem,06100005,0,0,0,0,1,94,102,108,0,0,0,0,0,0,0,0,0,305
Ashland - Ashland High,00140505,0,0,0,0,0,0,0,0,0,0,0,151,150,144,149,0,0,594
Ashland - Ashland Middle,00140405,0,0,0,0,0,0,0,0,0,188,197,0,0,0,0,0,0,385
Ashland - David Mindess,00140015,0,0,0,0,0,1,204,193,194,0,0,0,0,0,0,0,0,592
Ashland - Henry E Warren Elem,00140010,0,0,0,217,203,198,0,0,0,0,0,0,0,0,0,0,0,618
Ashland - William Pittaway Elem,00140005,0,128,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341
Assabet Valley - Assabet Valley Voc H S,08010605,0,0,0,0,0,0,0,0,0,0,0,239,215,221,201,0,0,876
Athol-Royalston - Athol High,06150505,0,0,0,0,0,0,0,0,0,0,0,169,157,148,137,0,0,611
Athol-Royalston - Athol-Royalston Middle School,06150305,0,0,0,0,0,0,0,0,192,203,199,0,0,0,0,0,0,594
Athol-Royalston - Ellen Bigelow,06150005,0,0,39,36,29,36,0,0,0,0,0,0,0,0,0,0,0,140
Athol-Royalston - Pleasant St,06150016,0,0,34,35,43,44,43,41,0,0,0,0,0,0,0,0,0,240
Athol-Royalston - Riverbend,06150020,0,0,0,0,0,4,89,94,0,0,0,0,0,0,0,0,0,187
