SCHOOL,ORG CODE,PK,K,1,2,3,4,5,6,7,8,9,10,11,12,SP,TOTAL
Abby Kelley Foster Regional Charter - Abby Kelley Foster Regional Charter School,04450105,0,116,115,118,91,112,103,75,57,43,33,26,0,0,0,889
Abington - Abington ECC,00010003,40,179,210,201,0,0,0,0,0,0,0,0,0,0,0,630
Abington - Abington High,00010505,0,0,0,0,0,0,0,0,0,0,148,150,166,144,3,611
Abington - Center,00010005,0,0,0,0,59,54,53,54,0,0,0,0,0,0,0,220
Abington - Frolio Jr Hs,00010405,0,0,0,0,0,0,0,0,200,214,0,0,0,0,0,414
Abington - North,00010010,0,0,0,0,57,50,51,52,0,0,0,0,0,0,0,210
Abington - Woodsdale,00010015,0,0,0,0,84,99,85,104,0,0,0,0,0,0,0,372
Academy of Strategic Learning HMCS - Academy of Strategic Learning HMCS School,04150505,0,0,0,0,0,0,0,0,3,7,10,9,9,7,0,45
Academy Of the Pacific Rim Charter - Academy Of the Pacific Rim Charter School,04120530,0,0,0,0,0,0,0,77,69,59,42,31,27,22,0,327
Acton - Douglas,00020020,0,67,70,71,66,67,76,77,0,0,0,0,0,0,0,494
Acton - Gates,00020025,0,67,70,68,69,68,75,77,0,0,0,0,0,0,0,494
Acton - Luther Conant,00020030,0,66,64,71,68,73,76,74,0,0,0,0,0,0,0,492
Acton - McCarthy-Towne,00020015,0,65,69,69,70,86,72,74,0,0,0,0,0,0,0,505
Acton - Merriam,00020010,28,69,77,92,89,63,69,50,0,0,0,0,0,0,0,537
Acton-Boxborough - Acton-Boxborough Reg High,06000505,0,0,0,0,0,0,0,0,0,0,441,433,400,407,0,"1,681"
Acton-Boxborough - Raymond J Grey JH,06000405,0,0,0,0,0,0,0,0,472,458,0,0,0,0,0,930
Acushnet - Acushnet Elementary Sch,00030025,22,114,92,102,108,121,0,0,0,0,0,0,0,0,0,559
Acushnet - Albert F Ford Middle Sch,00030305,0,0,0,0,0,0,120,129,151,150,0,0,0,0,0,550
Adams-Cheshire - Adams Middle,06030305,0,0,0,0,0,0,0,110,177,146,0,0,0,0,0,433
Adams-Cheshire - Cheshire Elementary,06030004,13,37,39,42,38,33,41,39,0,0,0,0,0,0,0,282
Adams-Cheshire - Hoosac Valley High,06030505,0,0,0,0,0,0,0,0,0,0,148,127,127,120,3,525
Adams-Cheshire - Plunkett Elementary,06030020,22,86,98,97,97,105,102,0,0,0,0,0,0,0,0,607
