orgcode,address,latitude,longitude
4450105,"10 New Bond Street, Worcester, MA 01606",42.305126,-71.80113642
10505,"201 Gliniewicz Way, Abington, MA 02351",,
10003,"1 Ralph Hamlin Lane, Abington, MA 02351",42.1181904,-70.94329123
10002,"65 Thaxter Avenue, Abington, MA 02351",42.1050773,-70.94443088
10405,"1071 Washington Street, Abington, MA 02351",42.12020385,-70.94610513
10015,"128 Chestnut Street, Abington, MA 02351",42.13137068,-70.97463371
4120530,"1 Westinghouse Plaza, Hyde Park, MA 02136",,
6000505,"36 Charter Rd, Acton, MA 01720",42.480637,-71.456076
6000005,"493 Massachusetts Avenue, Boxborough, MA 01719",42.487807,-71.5477459
6000020,"21 Elm Street, Acton, MA 01720",42.4811837,-71.47298171
6000030,"80 Taylor Road, Acton, MA 01720",42.47531635,-71.43635022
6000015,"11 Charter Road, Acton, MA 01720",42.480824,-71.45578242
6000010,"11 Charter Road, Acton, MA 01720",42.480824,-71.45578242
6000025,"75 Spruce Street, Acton, MA 01720",42.48009445,-71.47331999
6000405,"16 Charter Rd, Acton, MA 01720",42.4767,-71.456517
30025,"800 Middle Road, Acushnet, MA 02743",41.7257437,-70.90387364
30305,"708 Middle Road, Acushnet, MA 02743",41.7234968,-70.90380367
6030004,"191 Church Street, Cheshire, MA 01225",42.5640349,-73.15834995
6030505,"125 Savoy Road, Cheshire, MA 01225",,
6030020,"14 Commercial Street, Adams, MA 01220",42.6149803,-73.1235579
4300305,"201 Forest Street, Marlborough, MA 01752",42.33238193,-71.5783296
50003,"108 Perry Lane, Agawam, MA 01001",42.06655992,-72.62809027
50505,"760 Cooper Street, Agawam, MA 01001",42.0739637,-72.64505052
50405,"1305 Springfield St, Suite 2, Feeding Hills, MA 01030",,
50020,"689 Main Street, Agawam, MA 01001",42.07056885,-72.61138309
50010,"31 So. Westfield Street, Feeding Hills, MA 01030",,
50030,"65 Oxford Street, Agawam, MA 01001",42.0462824,-72.63132908
50303,"68 Main Street, Agawam, MA 01001",42.08836118,-72.62490775
50025,"65 Begley Street, Agawam, MA 01001",42.08990772,-72.64026579
4090205,"26 Madeira Ave, New Bedford, MA 02746",41.6654313,-70.92385464
70005,"20 South Hampton Road, Amesbury, MA 01913",,
70505,"5 Highland Street, Amesbury, MA 01913",42.851976,-70.940983
70013,"220 Main Street, Amesbury, MA 01913",42.849461,-70.931116
70010,"193 Lions Mouth Road, Amesbury, MA 01913",42.855355,-70.950891
4150505,"71 Friend Street, Amesbury, MA 01913",42.85504655,-70.93677582
80009,"280 West Street, Amherst, MA 01002",42.34738335,-72.51669021
80020,"70 So East Street, Amherst, MA 01002",,
80050,"71 Strong Street, Amherst, MA 01002",42.38693075,-72.51252966
6050505,"21 Mattoon Street, Amherst, MA 01002",42.38078975,-72.51256958
6050405,"170 Chestnut Street, Amherst, MA 01002",42.3845334,-72.51083545
90505,"80 Shawsheen Road, Andover, MA 01810",42.65980103,-71.15383225
90310,"70 Shawsheen Road, Andover, MA 01810",42.659747,-71.153196
90003,"15 Bancroft Street, Andover, MA 01810",42.63905286,-71.12791153
90305,"50 Bartlet Street, Andover, MA 01810",42.65464323,-71.13715423
90010,"90 Lovejoy Road, Andover, MA 01810",,
90004,"333 High Plain Road, Andover, MA 01810",42.6635074,-71.2129012
90005,"18 Magnolia Avenue, Andover, MA 01810",,
90020,"55 Woburn Street, Andover, MA 01810",42.62621495,-71.14981736
90025,"58 Beacon Street, Andover, MA 01810",42.67328017,-71.17267308
90350,"11 Cross Street, Andover, MA 01810",,
35090305,"263 Hamlet Street, Fall River, MA 02724",41.68893674,-71.16146921
100505,"869 Mass Avenue, Arlington, MA 02476",,
100010,"66 Eastern Avenue, Arlington, MA 02476",42.4124648,-71.17650487
100025,"185 Florence Avenue, Arlington, MA 02476",42.4174098,-71.1875205
100030,"52 Lake Street, Arlington, MA 02474",42.404214,-71.14525604
100005,"25 Columbia Road, Arlington, MA 02474",42.42416738,-71.15513323
100055,"180 Mountain Avenue, Arlington, MA 02474",42.428947,-71.166512
100038,"869 Massachusetts Avenue, Arlington, MA 02476",42.424169,-71.1787799
100410,"63 Acton Street, Arlington, MA 02476",42.421968,-71.176581
100045,"85 Park Avenue Ext, Arlington, MA 02474",,
100050,"187 Everett Street, Arlington, MA 02474",42.412988,-71.13827311
6100025,"96 Williams Rd, Ashburnham, MA 01430",42.61703344,-71.92603493
6100010,"8 South Street, Westminster, MA 01473",42.544585,-71.910934
6100505,"9 Oakmont Drive, Ashburnham, MA 01430",42.605366,-71.9221669
6100305,"10 Oakmont Drive, Ashburnham, MA 01430",42.605366,-71.9221669
6100005,"9 Academy Hill, Westminster, MA 01473",42.542781,-71.90927594
140505,"65 East Union St., Ashland, MA 01721",42.26186945,-71.44494542
140405,"87 West Union Street, Ashland, MA 01721",42.2523974,-71.4751022
140015,"90 Concord Street, Ashland, MA 01721",42.262158,-71.461679
140010,"73 Fruit Street, Ashland, MA 01721",42.241959,-71.44571741
140005,"75 Central Street, Ashland, MA 01721",42.25823152,-71.46004566
8010605,"215 Fitchburg Street, Marlborough, MA 01752",42.3681574,-71.56614095
6150505,"2363 Main Street, Athol, MA 01331",42.58125035,-72.20339322
6150305,"1062 Pleasant Street, Athol, MA 01331",42.57457181,-72.21878777
6150016,"1060 Pleasant Street, Athol, MA 01331",42.5745588,-72.21878938
6150020,"174 Riverbend Street, Athol, MA 01331",42.593566,-72.223165
6150050,"96 Winchendon Rd, Royalston, MA 01368",42.677672,-72.1591079
4910550,"37 Park Street, Fall River, MA 02721",41.69422908,-71.16308631
160001,"299 Rathbun Willard Drive, Attleboro, MA 02703",41.93692945,-71.3058359
160515,"100 Rathbun Willard Drive, Attleboro, MA 02703",41.9386198,-71.3015933
160505,"100 Rathbun Willard Drive, Attleboro, MA 02703",41.9386198,-71.3015933
160315,"320 Rathbun Willard Drive, Attleboro, MA 02703",41.9383245,-71.30725625
160008,"7 James St, Attleboro, MA 02703",41.94066675,-71.27888313
160045,"80 Roy Avenue, Attleboro, MA 02703",41.91789235,-71.34961598
160040,"790 Oak Hill Avenue, Attleboro, MA 02703",41.900809,-71.3133709
